# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.0130516
200 0.0134407
300 0.0138561
400 0.0142232
500 0.0145395
600 0.0147893
700 0.0149521
800 0.0151072
900 0.0152082
1000 0.0151903
1100 0.0150274
1200 0.0147947
1300 0.0146138
1400 0.0145105
1500 0.0144209
1600 0.0143513
1700 0.0142396
1800 0.0141305
1900 0.0141178
2000 0.0141016
2100 0.0140718
2200 0.0140588
2300 0.0140458
2400 0.0140579
2500 0.0141011
2600 0.0141155
2700 0.0140624
2800 0.0140243
2900 0.0140134
3000 0.0140288
3100 0.0140731
3200 0.0141014
3300 0.0140735
3400 0.0140389
3500 0.0140438
3600 0.0140744
3700 0.014121
3800 0.0142096
3900 0.0143338
4000 0.0144712
4100 0.0146123
4200 0.0147571
4300 0.014905
4400 0.0150291
4500 0.0151178
4600 0.0151591
4700 0.0151867
4800 0.0152338
4900 0.0152878
5000 0.0153284
5100 0.0154097
5200 0.0155448
5300 0.0156939
5400 0.0158173
5500 0.0159636
5600 0.0161484
5700 0.0163136
5800 0.0164931
5900 0.0166319
6000 0.0167608
6100 0.0168661
6200 0.0169576
6300 0.0169717
6400 0.0169638
6500 0.0169818
6600 0.0170099
6700 0.0170181
6800 0.0170054
6900 0.0169796
7000 0.0169581
7100 0.0169699
7200 0.0169821
7300 0.0170413
7400 0.0171392
7500 0.017208
7600 0.017249
7700 0.017353
7800 0.0174716
7900 0.0175892
8000 0.0177159
8100 0.0178844
8200 0.0180965
8300 0.0183028
8400 0.0184036
8500 0.0184314
8600 0.0184872
8700 0.01857
8800 0.0186264
8900 0.0186853
9000 0.0188134
9100 0.0189452
9200 0.0190708
9300 0.0192032
9400 0.0192628
9500 0.0193332
9600 0.0194235
9700 0.0195249
9800 0.0196011
9900 0.0196945
10000 0.0198449
10100 0.0200345
10200 0.020207
10300 0.0202695
10400 0.0202631
10500 0.0202807
10600 0.0202523
10700 0.0201388
10800 0.0200018
10900 0.0199134
11000 0.0198786
11100 0.0198028
11200 0.0196439
11300 0.0195424
11400 0.0196236
11500 0.0198184
11600 0.0199652
11700 0.0200253
11800 0.0200277
11900 0.0200761
12000 0.0202323
12100 0.0203973
12200 0.0205001
12300 0.0205796
12400 0.0206111
12500 0.0206444
12600 0.0206337
12700 0.0206387
12800 0.0207218
12900 0.0207888
13000 0.0208821
13100 0.0209419
13200 0.020867
13300 0.0207632
13400 0.0207141
13500 0.0206798
13600 0.0207228
13700 0.0207304
13800 0.0207362
13900 0.0207509
14000 0.02079
14100 0.0208393
14200 0.0208912
14300 0.0210033
14400 0.0212026
14500 0.0214765
14600 0.0217528
14700 0.0219273
14800 0.0220512
14900 0.0221363
15000 0.0221894
15100 0.0221782
15200 0.0221337
15300 0.0221066
15400 0.0220709
15500 0.0220332
15600 0.021972
15700 0.0219464
15800 0.0219396
15900 0.0218651
16000 0.0217966
16100 0.0217559
16200 0.0216637
16300 0.0214979
16400 0.0213395
16500 0.0211489
16600 0.0210491
16700 0.0210348
16800 0.0210544
16900 0.021117
17000 0.0211275
17100 0.0211312
17200 0.0212168
17300 0.0212739
17400 0.0212545
17500 0.021228
17600 0.021164
17700 0.0210286
