# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 13.724
200 49.8213
300 86.5365
400 117.089
500 151.119
600 193.531
700 233.49
800 267.837
900 301.801
1000 316.807
1100 309.969
1200 293.577
1300 284.369
1400 294.246
1500 314.128
1600 315.472
1700 294.701
1800 282.819
1900 298.57
2000 310.697
2100 308.249
2200 297.72
2300 299.792
2400 290.526
2500 294.953
2600 308.073
2700 307.446
2800 303.271
2900 294.71
3000 283.871
3100 301.26
3200 314.63
3300 306.565
3400 292.842
3500 296.11
3600 302.769
3700 299.229
3800 301.199
3900 297.483
4000 306.627
4100 298.629
4200 299.827
4300 300.251
4400 292.56
4500 298.292
4600 304.133
4700 297.577
4800 304.051
4900 302.038
5000 296.136
5100 296.563
5200 304.511
5300 303.606
5400 301.99
5500 297.898
5600 290.437
5700 298.638
5800 308.143
5900 306.941
6000 301.762
6100 298.076
6200 296.698
6300 289.35
6400 296.433
6500 304.271
6600 315.894
6700 301.911
6800 290.201
6900 292.631
7000 301.893
7100 310.695
7200 301.806
7300 291.241
7400 292.506
7500 305.936
7600 302.907
7700 298.313
7800 293.447
7900 294.498
8000 287.567
8100 296.839
8200 313.016
8300 307.991
8400 292.451
8500 295.728
8600 299.284
8700 306.764
8800 298.608
8900 292.766
9000 292.067
9100 299.432
9200 304.666
9300 305.446
9400 304.449
9500 299.588
9600 300.221
9700 303.54
9800 301.879
9900 296.764
10000 294.959
10100 300.629
10200 305.787
10300 292.889
10400 293.548
10500 299.044
10600 307.013
10700 303.074
10800 299.507
10900 292.969
11000 307.065
11100 318.187
11200 311.927
11300 298.785
11400 299.081
11500 298.323
11600 294.571
11700 292.989
11800 291.697
11900 299.366
12000 310.231
12100 303.406
12200 296.773
12300 293.657
12400 303.579
12500 307.153
12600 301.92
12700 303.276
12800 299.356
12900 295.777
13000 301.946
13100 310.039
13200 305.821
13300 300.254
13400 300.896
13500 300.719
13600 288.943
13700 295.375
13800 297.123
13900 305.241
14000 305.306
14100 297.009
14200 295.431
14300 298.46
14400 303.223
14500 309.517
14600 312.502
14700 301.573
14800 298.79
14900 297.161
15000 297.596
15100 295.4
15200 295.39
15300 303.617
15400 303.84
15500 305.222
15600 296.933
15700 292.935
15800 301.533
15900 306.111
16000 312.02
16100 312.101
16200 304.387
16300 301.349
16400 299.423
16500 295.868
16600 309.225
16700 306.579
16800 303.784
16900 302.862
17000 297.837
17100 292.157
17200 305.902
17300 316.226
17400 293.74
17500 292.497
17600 298.359
17700 297.717
17800 301.089
17900 315.316
18000 307.243
18100 298.128
18200 293.529
18300 298.512
18400 314.196
18500 302.786
18600 302.062
18700 301.35
18800 305.522
18900 308.308
19000 302.12
19100 290.538
19200 304.018
19300 300.28
19400 300.381
19500 292.11
19600 294.265
19700 297.502
19800 301.017
19900 296.694
20000 300.046
20100 309.508
20200 313.44
20300 307.95
20400 299.326
20500 302.873
20600 294.398
20700 301.072
20800 310.644
20900 301.163
21000 296.279
21100 289.069
21200 299.134
21300 310.376
21400 305.803
21500 300.947
21600 297.881
21700 302.68
21800 309.231
21900 302.714
22000 292.173
22100 292.034
22200 306.069
22300 308.671
22400 302.13
22500 301.062
22600 304.174
22700 306.06
22800 296.125
22900 299.036
23000 306.142
23100 308.698
23200 305.605
23300 299.978
23400 293.722
23500 293.849
23600 298.814
23700 302.343
23800 303.261
23900 302.406
24000 291.215
24100 294.789
24200 302.128
24300 304.247
24400 300.816
24500 297.786
24600 297.065
24700 295.736
24800 299.474
24900 301.804
25000 299.686
25100 306.089
25200 310.924
25300 306.952
25400 298.548
25500 294.773
25600 301.42
25700 296.667
25800 291.079
25900 300.62
26000 306.727
26100 304.442
26200 300.688
26300 289.091
26400 293.709
26500 309.818
26600 304.994
26700 300.742
26800 298.373
26900 300.442
27000 302.225
27100 296.982
27200 297.804
27300 304.719
27400 311.809
27500 303.27
27600 293.671
27700 295.175
27800 299.588
27900 306.535
28000 306.017
28100 297.386
28200 297.505
28300 298.219
28400 308.437
28500 304.605
28600 294.863
28700 301.325
28800 309.32
28900 293.943
29000 287.945
29100 296.932
29200 303.52
29300 303.188
29400 306.713
29500 297.269
29600 297.351
29700 303.595
29800 304.739
29900 303.095
30000 309.3
30100 298.015
30200 293.358
30300 302.469
30400 301.638
30500 298.588
30600 304.663
30700 311.782
30800 309.054
30900 304.654
31000 303.968
31100 302.91
31200 303.829
31300 301.792
31400 293.342
31500 300.595
31600 306.384
31700 307.981
31800 299.457
31900 288.003
32000 282.805
32100 288.885
32200 302.218
32300 296.712
32400 294.771
32500 300.657
32600 303.36
32700 304.436
32800 307.395
32900 303.31
33000 301.856
33100 293.066
33200 299.426
33300 307.814
33400 305.399
33500 300.061
33600 295.8
33700 305.085
33800 304.603
33900 291.909
34000 300.791
34100 305.719
34200 307.494
34300 299.033
34400 295.724
34500 305.558
34600 297.635
34700 293.67
34800 284.362
34900 292.783
35000 297.918
35100 300.652
35200 300.842
35300 301.394
35400 292.469
35500 289.595
35600 291.998
35700 294.954
35800 295.183
35900 300.667
36000 300.212
36100 295.142
36200 292.669
36300 301.125
36400 300.241
36500 302.841
36600 296.65
36700 306.133
36800 314.281
36900 302.68
37000 298.296
37100 299.224
37200 300.308
37300 303.394
37400 304.707
37500 296.049
37600 296.189
37700 300.914
37800 312.022
37900 312.056
38000 301.583
38100 305.687
38200 297.178
38300 296.236
38400 298.061
38500 306.146
38600 307.151
38700 300.893
38800 296.592
38900 294.158
39000 301.492
39100 298.144
39200 295.982
39300 301.189
39400 310.163
39500 305.515
39600 302.922
39700 300.681
39800 304.628
39900 300.377
40000 295.392
40100 304.541
40200 310.055
40300 312.732
40400 301.62
40500 295.201
40600 297.846
40700 305.839
40800 307.812
40900 294.312
41000 290.453
41100 291.966
41200 300.67
41300 307.524
41400 293.077
41500 301.116
41600 317.868
41700 318.946
41800 311.253
41900 307.759
42000 301.876
42100 299.718
42200 302.109
42300 309.401
42400 310.627
42500 303.072
42600 306.961
42700 302.057
42800 293.169
42900 293.371
43000 307.933
43100 309.066
43200 305.72
43300 297.954
43400 297.022
43500 307.711
43600 313.324
43700 298.936
43800 294.454
43900 298.308
44000 304.073
44100 303.211
44200 294.324
44300 289.02
44400 293.524
44500 296.374
44600 301.106
44700 302.715
44800 298.647
44900 296.03
45000 299.5
45100 298.428
45200 311.932
45300 302.439
45400 299.247
45500 301.605
45600 289.392
45700 295.049
45800 304.236
45900 302.082
46000 299.502
46100 296.577
46200 292.801
46300 291.077
46400 307.525
46500 304.336
46600 299.321
46700 291.04
46800 289.491
46900 290.131
47000 293.048
47100 314.475
47200 308.41
47300 295.758
47400 298.535
47500 301.359
47600 300.564
47700 305.49
47800 303.648
47900 302.561
48000 299.203
48100 292.558
48200 304.331
48300 306.869
48400 300.538
48500 296.245
48600 296.649
48700 298.858
48800 306.021
48900 307.948
49000 299.524
49100 295.782
49200 302.905
49300 297.102
49400 297.257
49500 289.886
49600 294.599
49700 302.027
49800 299.044
49900 297.873
50000 302.305
