# Time-averaged data for fix myat2
# TimeStep v_myvol
100 26817.4
200 26042.8
300 25261.3
400 24608.9
500 24073.2
600 23666.1
700 23408.3
800 23168
900 23014
1000 23041.2
1100 23291.2
1200 23657.6
1300 23950.1
1400 24120.5
1500 24270.4
1600 24388
1700 24579.6
1800 24769.1
1900 24791.4
2000 24820
2100 24872.4
2200 24895.5
2300 24918.4
2400 24897.1
2500 24820.7
2600 24795.5
2700 24889
2800 24956.7
2900 24976
3000 24948.7
3100 24870.1
3200 24820.3
3300 24869.5
3400 24930.8
3500 24922.1
3600 24867.8
3700 24785.8
3800 24631.3
3900 24417.9
4000 24186.2
4100 23952.5
4200 23717.6
4300 23482.3
4400 23288.3
4500 23151.6
4600 23088.5
4700 23046.6
4800 22975.3
4900 22894.1
5000 22833.5
5100 22713.1
5200 22515.7
5300 22301.7
5400 22127.7
5500 21925.1
5600 21674.1
5700 21454.7
5800 21221.2
5900 21044
6000 20882.1
6100 20751.7
6200 20639.7
6300 20622.5
6400 20632.2
6500 20610.3
6600 20576.2
6700 20566.3
6800 20581.6
6900 20612.9
7000 20639.1
7100 20624.8
7200 20609.9
7300 20538.3
7400 20421.1
7500 20339.4
7600 20291.1
7700 20169.5
7800 20032.6
7900 19898.6
8000 19756.4
8100 19570.3
8200 19341
8300 19122.8
8400 19018
8500 18989.4
8600 18932.1
8700 18847.6
8800 18790.6
8900 18731.4
9000 18603.9
9100 18474.4
9200 18352.7
9300 18226.2
9400 18169.7
9500 18103.6
9600 18019.4
9700 17925.9
9800 17856.1
9900 17771.5
10000 17636.9
10100 17470
10200 17320.8
10300 17267.3
10400 17272.8
10500 17257.8
10600 17282
10700 17379.5
10800 17498.5
10900 17576.1
11000 17606.9
11100 17674.4
11200 17817.3
11300 17909.8
11400 17835.8
11500 17660.4
11600 17530.6
11700 17477.9
11800 17475.8
11900 17433.7
12000 17299.2
12100 17159.2
12200 17073.1
12300 17007.2
12400 16981.2
12500 16953.8
12600 16962.5
12700 16958.5
12800 16890.5
12900 16836
13000 16760.8
13100 16712.9
13200 16772.9
13300 16856.8
13400 16896.7
13500 16924.7
13600 16889.7
13700 16883.4
13800 16878.7
13900 16866.7
14000 16835
14100 16795.2
14200 16753.5
14300 16664.1
14400 16507.5
14500 16297.2
14600 16090.1
14700 15961.9
14800 15872.2
14900 15811.2
15000 15773.3
15100 15781.2
15200 15813
15300 15832.4
15400 15858
15500 15885.1
15600 15929.3
15700 15947.9
15800 15952.9
15900 16007.3
16000 16057.5
16100 16087.6
16200 16156.1
16300 16280.7
16400 16401.7
16500 16549.4
16600 16627.8
16700 16639.1
16800 16623.6
16900 16574.3
17000 16566.1
17100 16563.2
17200 16496.4
17300 16452.1
17400 16467.1
17500 16487.7
17600 16537.5
17700 16644
17800 16670.6
17900 16660.4
18000 16653.6
18100 16701.5
18200 16755.2
18300 16690.7
18400 16541
18500 16380.2
18600 16202.1
18700 16021.8
18800 15859.7
18900 15718.8
19000 15630.4
19100 15544.1
19200 15486.8
19300 15433
19400 15362.7
19500 15325.1
19600 15271.1
19700 15213.8
19800 15194.6
19900 15198.4
20000 15228.8
20100 15215.3
20200 15226.2
20300 15317.5
20400 15406.7
20500 15443.4
20600 15447.8
20700 15423.6
20800 15413.4
20900 15469.7
21000 15542.3
21100 15610
21200 15667.7
21300 15689.6
21400 15688.8
21500 15684.2
21600 15668.2
21700 15645.4
21800 15671.7
21900 15750.7
22000 15820.8
22100 15827.5
22200 15785.4
22300 15761.7
22400 15788
22500 15834.8
22600 15892.4
22700 15967.8
22800 16068.1
22900 16122.2
23000 16094.9
23100 16005.5
23200 15904.6
23300 15802.3
23400 15741.6
23500 15715.5
23600 15715.3
23700 15718.7
23800 15714.8
23900 15717
24000 15744.7
24100 15729.2
24200 15643.7
24300 15566.1
24400 15453.5
24500 15276.2
24600 15106.8
24700 14964
24800 14843.6
24900 14748.2
25000 14678.7
25100 14624.1
25200 14559.5
25300 14508.5
25400 14504.5
25500 14561.1
25600 14656.5
25700 14766.9
25800 14856.1
25900 14910.3
26000 14961
26100 15011.8
26200 15027.9
26300 15007.3
26400 14952.9
26500 14913.4
26600 14843.3
26700 14766.5
26800 14663.2
26900 14540.3
27000 14455.3
27100 14421.2
27200 14409.4
27300 14432.1
27400 14515.5
27500 14653.9
27600 14818.9
27700 14906.9
27800 14973.5
27900 15063.8
28000 15126.4
28100 15180.5
28200 15223.6
28300 15207.8
28400 15135.9
28500 15083.2
28600 15044.5
28700 14954.5
28800 14871.5
28900 14816.4
29000 14753.2
29100 14638.8
29200 14520.3
29300 14425
29400 14334.2
29500 14266.7
29600 14273.3
29700 14392.1
29800 14522.5
29900 14640.2
30000 14765.4
30100 14854.1
30200 14889.6
30300 14846.1
30400 14798.1
30500 14768.2
30600 14705.7
30700 14589.9
30800 14501.8
30900 14435.8
